Roster Month/Year,Start,End,Block Total,Flight,Origin,City_Origin,Country_Origin,Latitude_Origin,Longitude_Origin,Destination,City_Destination,Country_Destination,lat,lon,Aircraft Type,Rank,Distance_miles
Jul-2013,2013-07-21 22:20:00,2013-07-22 05:37:00,0.3034722222222222,VS4,JFK,New York,United States,40.63980103,-73.77890015,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,3451.431109200727
Jul-2013,2013-07-25 16:39:00,2013-07-26 00:21:00,0.3208333333333334,VS1,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,744.0,CC,3465.154979753485
Jul-2013,2013-07-27 01:22:00,2013-07-27 08:18:00,0.2888888888888889,VS2,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,3465.154979753485
Jul-2013,2013-07-30 11:14:00,2013-07-30 21:26:00,0.425,VS93,LGW,London,United Kingdom,51.148102,-0.190278,CUN,Cancun,Mexico,21.0365009308,-86.8770980835,744.0,CC,4963.800032497119
Aug-2013,2013-08-02 00:11:00,2013-08-02 09:58:00,0.4076388888888889,VS94,CUN,Cancun,Mexico,21.0365009308,-86.8770980835,LGW,London,United Kingdom,51.148102,-0.190278,744.0,CC,4963.800032497119
Aug-2013,2013-08-05 10:39:00,2013-08-05 21:34:00,0.4548611111111111,VS7,LHR,London,United Kingdom,51.4706,-0.461941,LAX,Los Angeles,United States,33.94250107,-118.4079971,744.0,CC,5456.0407285107085
Aug-2013,2013-08-08 00:05:00,2013-08-08 10:05:00,0.4166666666666667,VS8,LAX,Los Angeles,United States,33.94250107,-118.4079971,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,5456.0407285107085
Aug-2013,2013-08-12 19:56:00,2013-08-13 06:54:00,0.4569444444444444,VS601,LHR,London,United Kingdom,51.4706,-0.461941,JNB,Johannesburg,South Africa,-26.1392,28.246,346.0,CC,5620.339088214339
Aug-2013,2013-08-14 18:22:00,2013-08-15 05:49:00,0.4770833333333334,VS602,JNB,Johannesburg,South Africa,-26.1392,28.246,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,5620.339088214339
Aug-2013,2013-08-17 10:13:00,2013-08-17 19:26:00,0.3840277777777778,VS27,LGW,London,United Kingdom,51.148102,-0.190278,MCO,Orlando,United States,28.42939949035645,-81.30899810791016,744.0,CC,4352.701532796484
Aug-2013,2013-08-18 22:15:00,2013-08-19 06:10:00,0.3298611111111111,VS28,MCO,Orlando,United States,28.42939949035645,-81.30899810791016,LGW,London,United Kingdom,51.148102,-0.190278,744.0,CC,4352.701532796484
Aug-2013,2013-08-25 21:52:00,2013-08-26 05:08:00,0.3027777777777778,VS657,LHR,London,United Kingdom,51.4706,-0.461941,ACC,Accra,Ghana,5.605189800262451,-0.1667860001325607,343.0,CC,3159.489317109437
Aug-2013,2013-08-27 10:21:00,2013-08-27 16:51:00,0.2708333333333333,VS658,ACC,Accra,Ghana,5.605189800262451,-0.1667860001325607,LHR,London,United Kingdom,51.4706,-0.461941,343.0,CC,3159.489317109437
Aug-2013,2013-08-30 19:58:00,2013-08-31 07:10:00,0.4666666666666667,VS601,LHR,London,United Kingdom,51.4706,-0.461941,JNB,Johannesburg,South Africa,-26.1392,28.246,346.0,CC,5620.339088214339
Sep-2013,2013-09-01 18:25:00,2013-09-02 05:37:00,0.4666666666666667,VS602,JNB,Johannesburg,South Africa,-26.1392,28.246,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,5620.339088214339
Sep-2013,2013-09-06 11:57:00,2013-09-06 21:10:00,0.3840277777777778,VS15,LGW,London,United Kingdom,51.148102,-0.190278,MCO,Orlando,United States,28.42939949035645,-81.30899810791016,744.0,CC,4352.701532796484
Sep-2013,2013-09-07 23:34:00,2013-09-08 07:37:00,0.3354166666666666,VS16,MCO,Orlando,United States,28.42939949035645,-81.30899810791016,LGW,London,United Kingdom,51.148102,-0.190278,744.0,CC,4352.701532796484
Sep-2013,2013-09-11 14:51:00,2013-09-12 02:44:00,0.4951388888888889,VS250,LHR,London,United Kingdom,51.4706,-0.461941,PVG,Shanghai,China,31.14340019226075,121.8050003051758,343.0,CC,5755.266437139178
Sep-2013,2013-09-14 03:36:00,2013-09-14 15:59:00,0.5159722222222223,VS251,PVG,Shanghai,China,31.14340019226075,121.8050003051758,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,5755.266437139178
Sep-2013,2013-09-18 15:39:00,2013-09-18 23:43:00,0.3361111111111111,VS1,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,744.0,CC,3465.154979753485
Sep-2013,2013-09-20 01:30:00,2013-09-20 08:11:00,0.2784722222222222,VS2,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,3465.154979753485
Sep-2013,2013-09-23 21:28:00,2013-09-24 09:22:00,0.4958333333333333,VS200,LHR,London,United Kingdom,51.4706,-0.461941,HKG,Hong Kong,Hong Kong,22.308901,113.915001,346.0,CC,5994.708539002999
Sep-2013,2013-09-24 11:27:00,2013-09-25 20:50:00,0.3909722222222222,VS200,HKG,Hong Kong,Hong Kong,22.308901,113.915001,SYD,Sydney,Australia,-33.94609832763672,151.177001953125,346.0,CC,4580.606774520088
Sep-2013,2013-09-27 04:13:00,2013-09-27 13:39:00,0.3930555555555555,VS201,SYD,Sydney,Australia,-33.94609832763672,151.177001953125,HKG,Hong Kong,Hong Kong,22.308901,113.915001,346.0,CC,4580.606774520088
Sep-2013,2013-09-29 15:25:00,2013-09-30 04:09:00,0.5305555555555556,VS201,HKG,Hong Kong,Hong Kong,22.308901,113.915001,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,5994.708539002999
Nov-2013,2013-11-10 16:06:00,2013-11-11 00:01:00,0.3298611111111111,VS1,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,744.0,CC,3465.154979753485
Nov-2013,2013-11-12 02:10:00,2013-11-12 08:32:00,0.2652777777777778,VS2,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,3465.154979753485
Nov-2013,2013-11-15 11:54:00,2013-11-16 00:05:00,0.5076388888888889,VS900,LHR,London,United Kingdom,51.4706,-0.461941,NRT,Tokyo,Japan,35.7647018433,140.386001587,346.0,CC,5974.619258816996
Nov-2013,2013-11-18 02:54:00,2013-11-18 15:28:00,0.5236111111111111,VS901,NRT,Tokyo,Japan,35.7647018433,140.386001587,LHR,London,United Kingdom,51.4706,-0.461941,343.0,CC,5974.619258816996
Nov-2013,2013-11-29 11:22:00,2013-11-29 19:35:00,0.3423611111111111,VS21,LHR,London,United Kingdom,51.4706,-0.461941,IAD,Washington,United States,38.94449997,-77.45580292,333.0,CC,3676.736545530025
Dec-2013,2013-11-30 23:26:00,2013-12-01 06:39:00,0.3006944444444444,VS22,IAD,Washington,United States,38.94449997,-77.45580292,LHR,London,United Kingdom,51.4706,-0.461941,333.0,CC,3676.736545530025
Dec-2013,2013-12-04 13:27:00,2013-12-05 00:46:00,0.4715277777777778,VS250,LHR,London,United Kingdom,51.4706,-0.461941,XMN,Xiamen,China,24.54400062561035,118.1279983520508,343.0,CC,6016.589669410353
Dec-2013,2013-12-04 04:04:00,2013-12-05 05:55:00,0.07708333333333334,VS250,XMN,Xiamen,China,24.54400062561035,118.1279983520508,PVG,Shanghai,China,31.14340019226075,121.8050003051758,343.0,CC,507.00002807262626
