Roster Month/Year,Start,End,Block Total,Flight,Origin,City_Origin,Country_Origin,Latitude_Origin,Longitude_Origin,Destination,City_Destination,Country_Destination,Latitude_Destination,Longitude_Destination,Aircraft Type,Rank
Jun-2013,2013-06-08 18:56:00,2013-06-09 06:18:00,0 days 11:22:00.000000000,VS602,JNB,Johannesburg,South Africa,-26.1392,28.246,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Jun-2013,2013-06-16 10:08:00,2013-06-16 19:07:00,0 days 08:59:00.000000000,VS27,LGW,London,United Kingdom,51.148102,-0.190278,MCO,Orlando,United States,28.429399490356445,-81.30899810791016,744,CC
Jun-2013,2013-06-18 22:00:00,2013-06-19 05:55:00,0 days 07:55:00.000000000,VS28,MCO,Orlando,United States,28.429399490356445,-81.30899810791016,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
Jun-2013,2013-06-22 19:58:00,2013-06-23 06:28:00,0 days 10:30:00.000000000,VS601,LHR,London,United Kingdom,51.4706,-0.461941,JNB,Johannesburg,South Africa,-26.1392,28.246,346,CC
Jun-2013,2013-06-24 18:32:00,2013-06-25 05:38:00,0 days 11:06:00.000000000,VS602,JNB,Johannesburg,South Africa,-26.1392,28.246,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Jun-2013,2013-06-27 10:45:00,2013-06-27 20:09:00,0 days 09:24:00.000000000,VS63,LGW,London,United Kingdom,51.148102,-0.190278,HAV,Havana,Cuba,22.989200592041016,-82.40910339355469,744,CC
Jul-2013,2013-07-01 23:38:00,2013-07-02 07:57:00,0 days 08:19:00.000000000,VS64,HAV,Havana,Cuba,22.989200592041016,-82.40910339355469,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
Jul-2013,2013-07-06 14:45:00,2013-07-07 02:36:00,0 days 11:51:00.000000000,VS23,LHR,London,United Kingdom,51.4706,-0.461941,LAX,Los Angeles,United States,33.94250107,-118.40799709999999,346,CC
Jul-2013,2013-07-09 04:56:00,2013-07-09 15:45:00,0 days 10:49:00.000000000,VS24,LAX,Los Angeles,United States,33.94250107,-118.40799709999999,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Jul-2013,2013-07-13 21:15:00,2013-07-14 04:00:00,0 days 06:45:00.000000000,VS651,LHR,London,United Kingdom,51.4706,-0.461941,LOS,Lagos,Nigeria,6.5773701667785645,3.321160078048706,346,CC
Jul-2013,2013-07-15 08:56:00,2013-07-15 15:18:00,0 days 06:22:00.000000000,VS652,LOS,Lagos,Nigeria,6.5773701667785645,3.321160078048706,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Jul-2013,2013-07-20 19:19:00,2013-07-21 03:01:00,0 days 07:42:00.000000000,VS25,LHR,London,United Kingdom,51.4706,-0.461941,JFK,New York,United States,40.63980103,-73.77890015,333,CC
Jul-2013,2013-07-21 22:20:00,2013-07-22 05:37:00,0 days 07:17:00.000000000,VS4,JFK,New York,United States,40.63980103,-73.77890015,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Jul-2013,2013-07-25 16:39:00,2013-07-26 00:21:00,0 days 07:42:00.000000000,VS1,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,744,CC
Jul-2013,2013-07-27 01:22:00,2013-07-27 08:18:00,0 days 06:56:00.000000000,VS2,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Jul-2013,2013-07-30 11:14:00,2013-07-30 21:26:00,0 days 10:12:00.000000000,VS93,LGW,London,United Kingdom,51.148102,-0.190278,CUN,Cancun,Mexico,21.036500930800003,-86.8770980835,744,CC
Aug-2013,2013-08-02 00:11:00,2013-08-02 09:58:00,0 days 09:47:00.000000000,VS94,CUN,Cancun,Mexico,21.036500930800003,-86.8770980835,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
Aug-2013,2013-08-05 10:39:00,2013-08-05 21:34:00,0 days 10:55:00.000000000,VS7,LHR,London,United Kingdom,51.4706,-0.461941,LAX,Los Angeles,United States,33.94250107,-118.40799709999999,744,CC
Aug-2013,2013-08-08 00:05:00,2013-08-08 10:05:00,0 days 10:00:00.000000000,VS8,LAX,Los Angeles,United States,33.94250107,-118.40799709999999,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Aug-2013,2013-08-12 19:56:00,2013-08-13 06:54:00,0 days 10:58:00.000000000,VS601,LHR,London,United Kingdom,51.4706,-0.461941,JNB,Johannesburg,South Africa,-26.1392,28.246,346,CC
Aug-2013,2013-08-14 18:22:00,2013-08-15 05:49:00,0 days 11:27:00.000000000,VS602,JNB,Johannesburg,South Africa,-26.1392,28.246,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Aug-2013,2013-08-17 10:13:00,2013-08-17 19:26:00,0 days 09:13:00.000000000,VS27,LGW,London,United Kingdom,51.148102,-0.190278,MCO,Orlando,United States,28.429399490356445,-81.30899810791016,744,CC
Aug-2013,2013-08-18 22:15:00,2013-08-19 06:10:00,0 days 07:55:00.000000000,VS28,MCO,Orlando,United States,28.429399490356445,-81.30899810791016,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
Aug-2013,2013-08-25 21:52:00,2013-08-26 05:08:00,0 days 07:16:00.000000000,VS657,LHR,London,United Kingdom,51.4706,-0.461941,ACC,Accra,Ghana,5.605189800262451,-0.16678600013256073,343,CC
Aug-2013,2013-08-27 10:21:00,2013-08-27 16:51:00,0 days 06:30:00.000000000,VS658,ACC,Accra,Ghana,5.605189800262451,-0.16678600013256073,LHR,London,United Kingdom,51.4706,-0.461941,343,CC
